nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0290358,Richard Francis-Bruce,1948,NA,"editor,editorial_department,camera_department","tt0117500,tt0118571,tt0097162,tt0114369"
nm0000209,Tim Robbins,1958,NA,"actor,producer,director","tt0094812,tt0327056,tt0105151,tt0111161"
nm0000151,Morgan Freeman,1937,NA,"actor,producer,soundtrack","tt0097239,tt0405159,tt0114369,tt1057500"
nm0348409,Bob Gunton,1945,NA,"actor,soundtrack","tt3322312,tt0285331,tt0111161,tt3305388"
nm0006669,William Sadler,1950,NA,"actor,soundtrack,director","tt0111161,tt0099423,tt0101452,tt0884328"
nm0001104,Frank Darabont,1959,NA,"writer,producer,director","tt0120689,tt0111161,tt1520211,tt0884328"
nm0000175,Stephen King,1947,NA,"writer,producer,actor","tt0091499,tt0111161,tt0100157,tt0083767"
nm0555550,Niki Marvin,NA,NA,"producer,director,writer","tt0100146,tt4337004,tt0111161,tt0093629"
nm0002353,Thomas Newman,1955,NA,"music_department,composer,soundtrack","tt0169547,tt0910970,tt1074638,tt1454029"
nm0005683,Roger Deakins,1949,NA,"cinematographer,camera_department,miscellaneous","tt0116282,tt1856101,tt0477348,tt1074638"
nm0746273,Charles Roven,1949,NA,"producer,executive,actor","tt0468569,tt0770828,tt1800241,tt0451279"
nm0000288,Christian Bale,1974,NA,"actor,editorial_department,producer","tt1800241,tt0372784,tt0468569,tt6266538"
nm0005132,Heath Ledger,1979,2008,"actor,director,soundtrack","tt0468569,tt0183790,tt0147800,tt0388795"
nm0001173,Aaron Eckhart,1968,NA,"actor,producer,soundtrack","tt0427944,tt0298814,tt0468569,tt0119361"
nm0000323,Michael Caine,1933,NA,"actor,producer,soundtrack","tt0468569,tt0258068,tt0124315,tt0482571"
nm0634240,Christopher Nolan,1970,NA,"writer,producer,director","tt5013056,tt0482571,tt1375666,tt0816692"
nm0634300,Jonathan Nolan,1976,NA,"writer,producer,director","tt0482571,tt0816692,tt0468569,tt0209144"
nm0333060,David S. Goyer,1965,NA,"writer,producer,director","tt0468569,tt0372784,tt2975590,tt0118929"
nm0004170,Bob Kane,1915,1998,"writer,miscellaneous,art_department","tt0372784,tt0468569,tt0096895,tt0106364"
nm0650038,Lorne Orleans,NA,NA,"producer,production_manager,miscellaneous","tt0121765,tt0434409,tt0418279,tt0409459"
nm0245596,Guy Hendrix Dyas,1968,NA,"art_department,production_designer,visual_effects","tt1375666,tt2080374,tt5523010,tt1355644"
nm0000138,Leonardo DiCaprio,1974,NA,"actor,producer,writer","tt0993846,tt0120338,tt0407887,tt1375666"
nm0330687,Joseph Gordon-Levitt,1981,NA,"actor,producer,soundtrack","tt1306980,tt2229499,tt1276104,tt1375666"
nm0680983,Ellen Page,1987,NA,"actress,producer,soundtrack","tt1877832,tt1375666,tt0467406,tt0424136"
nm0913822,Ken Watanabe,1959,NA,"actor,producer,director","tt0831387,tt0325710,tt3741700,tt1375666"
nm0858799,Emma Thomas,NA,NA,"producer,miscellaneous,actress","tt1375666,tt5013056,tt0154506,tt0468569"
nm0001877,Hans Zimmer,1957,NA,"music_department,composer,soundtrack","tt0816692,tt0172495,tt1375666,tt5013056"
nm0002892,Wally Pfister,1961,NA,"cinematographer,camera_department,director","tt0372784,tt0482571,tt1375666,tt0468569"
nm0809059,Lee Smith,1960,NA,"editor,sound_department,editorial_department","tt5013056,tt0816692,tt1375666,tt0468569"
nm0513165,Art Linson,1942,NA,"producer,writer,director","tt0758758,tt0119051,tt0137523,tt0094226"
nm0000093,Brad Pitt,1963,NA,"actor,producer,soundtrack","tt0114746,tt1210166,tt0421715,tt0356910"
nm0001570,Edward Norton,1969,NA,"actor,producer,writer","tt2562232,tt0117381,tt0120586,tt0171433"
nm0001533,Meat Loaf,1947,NA,"actor,soundtrack,producer","tt0383222,tt0227984,tt0073629,tt0137523"
nm0340260,Zach Grenier,1954,NA,"actor,soundtrack","tt0285331,tt0137523,tt1442462,tt0348914"
nm0000399,David Fincher,1962,NA,"director,producer,actor","tt1285016,tt2267998,tt0443706,tt0114369"
nm0657333,Chuck Palahniuk,1962,NA,"writer,actor,producer","tt4546372,tt1024715,tt0137523,tt1773686"
nm0880243,Jim Uhls,1957,NA,"writer,producer,actor","tt0137523,tt2082453,tt0489099,tt4546514"
nm0068501,Ross Grayson Bell,NA,NA,"producer,writer,director","tt0100789,tt0137523,tt0167205,tt0164212"
nm0149556,Ceán Chaffin,1957,NA,"producer,cinematographer","tt0443706,tt1285016,tt0421715,tt2267998"
nm0913300,David Wasco,NA,NA,"production_designer,art_department,actor","tt3783958,tt0361748,tt0266697,tt0369339"
nm0000237,John Travolta,1954,NA,"actor,soundtrack,producer","tt0113161,tt0185183,tt0427327,tt0119094"
nm0000235,Uma Thurman,1970,NA,"actress,soundtrack,producer","tt0266697,tt0378194,tt0110912,tt0118688"
nm0000168,Samuel L. Jackson,1948,NA,"actor,producer,soundtrack","tt3460252,tt0417148,tt0119396,tt0110912"
nm0000246,Bruce Willis,1955,NA,"actor,soundtrack,producer","tt0095016,tt0110912,tt0088571,tt0167404"
nm0000233,Quentin Tarantino,1963,NA,"writer,actor,producer","tt0116367,tt0110912,tt3460252,tt0105236"
nm0000812,Roger Avary,1965,NA,"producer,writer,director","tt0110265,tt0292644,tt7248248,tt0110912"
nm0004744,Lawrence Bender,1957,NA,"producer,camera_department,actor","tt0105236,tt0110912,tt0361748,tt0266697"
nm0782900,Andrzej Sekula,1954,NA,"cinematographer,director,producer","tt0144084,tt0285492,tt0110912,tt0105236"
nm0579673,Sally Menke,1953,2010,"editor,producer,sound_department","tt0378194,tt0266697,tt0110912,tt0361748"
nm0005494,Steve Tisch,1949,NA,"producer,actor,miscellaneous","tt0109830,tt0454921,tt0119925,tt0814314"
nm0000158,Tom Hanks,1956,NA,"producer,actor,soundtrack","tt0162222,tt0120815,tt0094737,tt0109830"
nm0000705,Robin Wright,1966,NA,"actress,producer,director","tt0093779,tt0442933,tt0109830,tt0217869"
nm0000641,Gary Sinise,1955,NA,"actor,producer,director","tt0105046,tt0117438,tt0109830,tt0112384"
nm0000398,Sally Field,1946,NA,"actress,producer,soundtrack","tt0098384,tt0076729,tt0109830,tt0443272"
nm0000709,Robert Zemeckis,1951,NA,"producer,writer,director","tt0118884,tt0109830,tt0088763,tt1907668"
nm0343165,Winston Groom,1944,NA,"writer,actor","tt9055820,tt0109830,tt10028196,tt0156812"
nm0744839,Eric Roth,1945,NA,"producer,writer,actor","tt0140352,tt0421715,tt0408306,tt0109830"
nm0277704,Wendy Finerman,1961,NA,producer,"tt0109830,tt0116277,tt0303933,tt1598828"
nm0823330,Steve Starkey,NA,NA,"producer,assistant_director,editorial_department","tt1907668,tt0118884,tt0162222,tt0109830"
nm0322513,Iain Glen,1961,NA,"actor,producer,soundtrack","tt0944947,tt0432021,tt0146316,tt2592614"
nm3592338,NA,NA,NA,NA,NA
nm0227759,Peter Dinklage,1969,NA,"actor,producer,soundtrack","tt0340377,tt0944947,tt5027774,tt1877832"
nm3229685,Kit Harington,1986,NA,"actor,writer,producer","tt1646971,tt0944947,tt0938330,tt1921064"
nm0372176,Lena Headey,1973,NA,"actress,soundtrack,producer","tt1374989,tt0944947,tt0416449,tt1343727"
nm1125275,David Benioff,1970,NA,"writer,producer,director","tt0944947,tt0419887,tt0458525,tt0307901"
nm1888967,D.B. Weiss,1971,NA,"writer,producer,director","tt7974630,tt7163588,tt0944947,tt3677548"
nm3849842,Sophie Turner,1996,NA,actress,"tt3385516,tt1731701,tt6565702,tt0944947"
nm3586035,NA,NA,NA,NA,NA
nm0182666,Nikolaj Coster-Waldau,1970,NA,"actor,producer,writer","tt2404233,tt0944947,tt0110631,tt1483013"
nm0821205,Zach Staenberg,1954,NA,"editor,editorial_department,producer","tt0133093,tt1637688,tt0399295,tt1731141"
nm0000206,Keanu Reeves,1964,NA,"actor,producer,soundtrack","tt0133093,tt0111257,tt0234215,tt0102685"
nm0000401,Laurence Fishburne,1961,NA,"actor,producer,director","tt0133093,tt1598778,tt0234215,tt0242653"
nm0005251,Carrie-Anne Moss,1967,NA,"actress,producer","tt0133093,tt0457572,tt0209144,tt0242653"
nm0915989,Hugo Weaving,1960,NA,"actor,soundtrack,producer","tt0120737,tt0133093,tt0167260,tt0434409"
nm0905154,Lana Wachowski,1965,NA,"writer,producer,director","tt1371111,tt1617661,tt0133093,tt0115736"
nm0905152,Lilly Wachowski,1967,NA,"writer,producer,director","tt0115736,tt1617661,tt1371111,tt0133093"
nm0005428,Joel Silver,1952,NA,"producer,actor,miscellaneous","tt0093773,tt1037705,tt0098206,tt0102070"
nm0204485,Don Davis,1957,NA,"composer,music_department,soundtrack","tt0242653,tt0133093,tt0163025,tt0234215"
nm0691084,Bill Pope,1952,NA,"cinematographer,director,camera_department","tt0115736,tt0133093,tt3040964,tt0316654"
nm0761744,Tim Sanders,NA,NA,"producer,production_manager,location_management","tt0298228,tt0116365,tt0403407,tt0120737"
nm0000704,Elijah Wood,1981,NA,"actor,producer,soundtrack","tt0120737,tt0167260,tt0107034,tt0167261"
nm0005212,Ian McKellen,1939,NA,"actor,soundtrack,writer","tt0167261,tt0167260,tt0120737,tt0120684"
nm0089217,Orlando Bloom,1977,NA,"actor,producer,soundtrack","tt0120737,tt0320661,tt0167260,tt0325980"
nm0000293,Sean Bean,1959,NA,"actor,producer,animation_department","tt1617661,tt0944947,tt1181791,tt0120737"
nm0001392,Peter Jackson,1961,NA,"producer,director,writer","tt0167260,tt0360717,tt0120737,tt0092610"
nm0866058,J.R.R. Tolkien,1892,1973,"writer,soundtrack","tt0120737,tt0903624,tt0167261,tt0167260"
nm0909638,Fran Walsh,1959,NA,"writer,casting_department,producer","tt0167261,tt0167260,tt0360717,tt0120737"
nm0101991,Philippa Boyens,NA,NA,"writer,producer,soundtrack","tt0167260,tt0120737,tt0167261,tt0360717"
nm0651614,Barrie M. Osborne,1944,NA,"producer,production_manager,assistant_director","tt0167261,tt0133093,tt0167260,tt0120737"
nm0006290,Howard Shore,1946,NA,"music_department,composer,soundtrack","tt0338751,tt1325004,tt0903624,tt0120737"
nm0001557,Viggo Mortensen,1958,NA,"actor,soundtrack,producer","tt3553976,tt0898367,tt0765443,tt0167260"
nm0362766,Tom Hardy,1977,NA,"actor,producer,writer","tt1375666,tt2692904,tt1392190,tt1345836"
nm0004266,Anne Hathaway,1982,NA,"actress,soundtrack,producer","tt1345836,tt1707386,tt1084950,tt0758752"
nm0000198,Gary Oldman,1958,NA,"actor,soundtrack,producer","tt1340800,tt4555426,tt0468569,tt0103874"
nm0801728,Stephen Sinclair,NA,NA,"writer,director,actor","tt0103873,tt0167261,tt1340119,tt0097858"
nm0887227,Hoyte Van Hoytema,1971,NA,"cinematographer,camera_department,composer","tt5013056,tt0816692,tt1139797,tt1798709"
nm0000190,Matthew McConaughey,1969,NA,"actor,producer,soundtrack","tt1915581,tt0790636,tt1726669,tt1935179"
nm1567113,Jessica Chastain,1977,NA,"actress,producer,soundtrack","tt0478304,tt0816692,tt4209788,tt1790885"
nm3237775,Mackenzie Foy,2000,NA,"actress,soundtrack","tt0816692,tt1754656,tt1673434,tt1457767"
nm0643553,Lynda Obst,NA,NA,"producer,writer","tt0118884,tt0092513,tt0816692,tt0133952"
nm0000228,Kevin Spacey,1959,NA,"actor,producer,soundtrack","tt0119488,tt0114814,tt0169547,tt0114369"
nm0001825,Andrew Kevin Walker,1964,NA,"writer,actor,miscellaneous","tt0134273,tt0258000,tt0162661,tt0114369"
nm0138287,Phyllis Carlyle,NA,NA,"producer,casting_department,casting_director","tt0964539,tt0094606,tt0246072,tt0114369"
nm0465745,Arnold Kopelson,1935,2018,"producer,miscellaneous,camera_department","tt0091763,tt0106977,tt0114369,tt0119731"
nm0451787,Darius Khondji,1955,NA,"cinematographer,camera_department,actor","tt0114369,tt0101700,tt1602620,tt1605783"
nm0926824,Douglas Wick,NA,NA,"producer,writer,executive","tt0418763,tt0397535,tt1343092,tt0172495"
nm0000128,Russell Crowe,1964,NA,"actor,soundtrack,producer","tt1707386,tt0119488,tt0172495,tt0268978"
nm0001618,Joaquin Phoenix,1974,NA,"actor,producer,soundtrack","tt1560747,tt0172495,tt1798709,tt0358273"
nm0001567,Connie Nielsen,1965,NA,actress,"tt0451279,tt0264395,tt0172495,tt0265459"
nm0001657,Oliver Reed,1938,1999,"actor,soundtrack","tt0080658,tt0063385,tt0172495,tt0096764"
nm0000631,Ridley Scott,1937,NA,"producer,director,production_designer","tt0172495,tt0083658,tt0103074,tt3659388"
nm0291905,David Franzoni,1947,NA,"writer,producer,director","tt0118607,tt0349683,tt0172495,tt0103973"
nm0517589,John Logan,1961,NA,"writer,producer,executive","tt0408236,tt0338751,tt1074638,tt0172495"
nm0629933,William Nicholson,1948,NA,"editor,writer,producer","tt1707386,tt0119125,tt0172495,tt1809398"
nm0527322,Branko Lustig,1932,NA,"production_manager,producer,assistant_director","tt0320661,tt0172495,tt0120053,tt0108052"
nm0000553,Liam Neeson,1952,NA,"actor,soundtrack,producer","tt0429493,tt1601913,tt0362269,tt0108052"
nm0290581,Larry Franco,1949,NA,"producer,assistant_director,actor","tt0116996,tt1521197,tt0084787,tt0082340"
nm0285701,Jeffrey Ford,NA,NA,"editor,editorial_department,producer","tt0848228,tt1152836,tt3498820,tt0356680"
nm0000375,Robert Downey Jr.,1965,NA,"actor,producer,soundtrack","tt1300854,tt0848228,tt0988045,tt0371746"
nm0262635,Chris Evans,1981,NA,"actor,producer,soundtrack","tt0458339,tt0848228,tt3498820,tt2395427"
nm0424060,Scarlett Johansson,1984,NA,"actress,soundtrack,producer","tt0848228,tt1798709,tt0335266,tt1441395"
nm0719637,Jeremy Renner,1971,NA,"actor,producer,soundtrack","tt0840361,tt5362988,tt0887912,tt0848228"
nm0923736,Joss Whedon,1964,NA,"writer,producer,director","tt0118276,tt0848228,tt0162065,tt1259521"
nm0672015,Zak Penn,1968,NA,"writer,producer,actor","tt0848228,tt0800080,tt1677720,tt0290334"
nm0270559,Kevin Feige,1973,NA,"producer,miscellaneous,production_manager","tt2015381,tt0371746,tt1825683,tt0478970"
nm0006293,Alan Silvestri,1950,NA,"composer,soundtrack,music_department","tt0458339,tt0093773,tt0109830,tt0338348"
nm0568974,Seamus McGarvey,1967,NA,"cinematographer,camera_department,producer","tt4550098,tt1781769,tt0783233,tt1242460"
nm0882588,Kenneth Utt,1921,1994,"producer,production_manager,actor","tt0064665,tt0368008,tt0102926,tt0067116"
nm0000149,Jodie Foster,1962,NA,"actress,director,producer","tt0102926,tt0476964,tt0118884,tt0075314"
nm0000164,Anthony Hopkins,1937,NA,"actor,soundtrack,composer","tt0975645,tt0212985,tt0102926,tt0412080"
nm0095029,Lawrence A. Bonney,NA,NA,actor,tt0102926
nm0501435,Kasi Lemmons,1961,NA,"actress,director,producer","tt0103919,tt0107076,tt0119080,tt0102926"
nm0001129,Jonathan Demme,1944,2017,"director,producer,writer","tt0102926,tt1084950,tt0368008,tt0107818"
nm0365383,Thomas Harris,1940,NA,writer,"tt0367959,tt0102926,tt0091474,tt0289765"
nm0848217,Ted Tally,1952,NA,"writer,miscellaneous,producer","tt1413492,tt0102926,tt0183523,tt0149624"
nm0102508,Ron Bozman,NA,NA,"producer,assistant_director,production_manager","tt0327162,tt0457433,tt0308383,tt0102926"
nm0768324,Edward Saxon,NA,NA,"producer,actor,executive","tt1176740,tt0107818,tt0268126,tt0102926"
nm1208167,Diane Kruger,1976,NA,"actress,producer","tt5723272,tt0361748,tt0368891,tt1401152"
nm0744834,Eli Roth,1972,NA,"producer,actor,writer","tt0450278,tt0462322,tt0361748,tt0303816"
nm0491259,Mélanie Laurent,1983,NA,"actress,director,writer","tt1532503,tt0361748,tt1670345,tt3365778"
nm0724744,Robert Richardson,1955,NA,"cinematographer,camera_department,actor","tt0338751,tt0361748,tt0102138,tt0266697"
nm0156816,Richard Chew,1940,NA,"editor,editorial_department,cinematographer","tt0073486,tt0184894,tt0071360,tt0076759"
nm0000434,Mark Hamill,1951,NA,"actor,producer,soundtrack","tt0080684,tt2527336,tt0086190,tt0076759"
nm0000148,Harrison Ford,1942,NA,"actor,writer,producer","tt0082971,tt0090329,tt0118571,tt0106977"
nm0000402,Carrie Fisher,1956,2016,"actress,soundtrack,writer","tt0080684,tt0086190,tt2527336,tt0076759"
nm0000027,Alec Guinness,1914,2000,"actor,soundtrack,writer","tt0041546,tt0050212,tt0051739,tt0076759"
nm0000184,George Lucas,1944,NA,"writer,producer,director","tt0069704,tt0082971,tt0076759,tt0066434"
nm0476030,Gary Kurtz,1940,2018,"producer,assistant_director,production_manager","tt0080684,tt0076759,tt0083791,tt0069704"
nm0564768,Rick McCallum,1950,NA,"producer,production_manager,actor","tt0121765,tt0120915,tt0080684,tt0076759"
nm0002354,John Williams,1932,NA,"music_department,soundtrack,composer","tt0121765,tt0120915,tt2488496,tt0080684"
nm0852405,Gilbert Taylor,1914,2013,"cinematographer,camera_department,director","tt0075005,tt0080745,tt0059646,tt0076759"
nm0000354,Matt Damon,1970,NA,"producer,actor,soundtrack","tt3659388,tt0407887,tt0119217,tt0134119"
nm0001744,Tom Sizemore,1961,NA,"actor,producer,writer","tt0199753,tt0265086,tt0114558,tt0120815"
nm0122653,Edward Burns,1968,NA,"actor,writer,producer","tt0112585,tt0491109,tt0120815,tt0117628"
nm0000229,Steven Spielberg,1946,NA,"producer,writer,director","tt0108052,tt0083866,tt0082971,tt0120815"
nm0734441,Robert Rodat,1953,NA,"writer,producer,director","tt1462059,tt1981115,tt0120815,tt0187393"
nm0117290,Ian Bryce,NA,NA,"producer,assistant_director,production_manager","tt0145487,tt0816711,tt0181875,tt0120815"
nm0330428,Mark Gordon,1956,NA,"producer,director,actor","tt0120815,tt0413573,tt0790712,tt0319262"
nm0506013,Gary Levinsohn,1959,NA,producer,"tt0120815,tt0790724,tt0300556,tt0114746"
nm0000146,Ralph Fiennes,1962,NA,"actor,director,soundtrack","tt0387131,tt0108052,tt1201607,tt2278388"
nm0001426,Ben Kingsley,1943,NA,"actor,producer,soundtrack","tt0203119,tt0083987,tt0108052,tt0315983"
nm0328751,Caroline Goodall,1959,NA,"actress,producer,writer","tt0109635,tt0106582,tt0108052,tt0102057"
nm0447745,Thomas Keneally,1935,NA,"writer,actor","tt0088119,tt0108052,tt6802798,tt0166180"
nm0001873,Steven Zaillian,1953,NA,"writer,producer,director","tt0120633,tt1210166,tt0108065,tt0108052"
nm0596520,Gerald R. Molen,1935,NA,"producer,production_manager,transportation_department","tt0107290,tt0088939,tt0108052,tt0095953"
nm0454752,Graham King,1961,NA,"producer,executive","tt0338751,tt0407887,tt0840361,tt1714209"
nm0000197,Jack Nicholson,1937,NA,"actor,soundtrack,producer","tt0071315,tt0119822,tt0407887,tt0073486"
nm0000242,Mark Wahlberg,1971,NA,"producer,actor,soundtrack","tt1637725,tt0118749,tt0407887,tt0964517"
nm0000217,Martin Scorsese,1942,NA,"producer,director,actor","tt0070379,tt0075314,tt0099685,tt0106226"
nm1184258,William Monahan,1960,NA,"writer,producer,director","tt0758774,tt0320661,tt1213648,tt0407887"
nm0538320,Alan Mak,1965,NA,"director,actor,writer","tt1349853,tt0369060,tt1648093,tt0338564"
nm0159039,Felix Chong,1968,NA,"writer,director,actor","tt0338564,tt1852904,tt1349853,tt7183578"
nm0340522,Brad Grey,1957,2017,"producer,writer,miscellaneous","tt0141842,tt0407887,tt0103466,tt0120008"
nm0432382,David Julyan,NA,NA,"composer,music_department,sound_department","tt0435625,tt0482571,tt1259521,tt0278504"
nm0413168,Hugh Jackman,1968,NA,"actor,soundtrack,producer","tt0120903,tt3315342,tt1707386,tt0458525"
nm1793993,Christopher Priest,1943,NA,writer,"tt5715862,tt0081877,tt2145943,tt0482571"
nm0753083,Aaron Ryder,NA,NA,"producer,miscellaneous,director","tt0246578,tt2209764,tt2543164,tt0482571"
nm0001850,Billy Dee Williams,1937,NA,"actor,soundtrack,writer","tt0086190,tt0080684,tt4116284,tt0096895"
nm0449984,Irvin Kershner,1923,2010,"director,cinematographer,actor","tt0080684,tt0110725,tt0100502,tt0086006"
nm0102824,Leigh Brackett,1915,1978,writer,"tt0080684,tt0056059,tt0038355,tt0053221"
nm0001410,Lawrence Kasdan,1949,NA,"writer,producer,director","tt0090022,tt0085244,tt0111756,tt0082971"
nm0729701,Stephen E. Rivkin,NA,NA,"editor,editorial_department,director","tt0325980,tt0383574,tt0499549,tt0449088"
nm0941777,Sam Worthington,1976,NA,"actor,producer,director","tt1568338,tt0438488,tt0800320,tt0499549"
nm0757855,Zoe Saldana,1978,NA,"actress,producer,writer","tt2015381,tt3896198,tt0796366,tt0499549"
nm0000244,Sigourney Weaver,1949,NA,"actress,soundtrack,producer","tt0499549,tt0177789,tt0118583,tt0078748"
nm0735442,Michelle Rodriguez,1978,NA,"actress,producer","tt0210075,tt0232500,tt0499549"
nm0000116,James Cameron,1954,NA,"writer,producer,director","tt0090605,tt0103064,tt0120338,tt0499549"
nm0484457,Jon Landau,1960,NA,"producer,production_manager,actor","tt0437086,tt0099422,tt0120338,tt0499549"
nm0000035,James Horner,1953,2015,"music_department,soundtrack,composer","tt0499549,tt0120647,tt0120338,tt0120746"
nm0278475,Mauro Fiore,1964,NA,"cinematographer,camera_department","tt0399201,tt0431197,tt0499549,tt0139654"
nm0716350,John Refoua,NA,NA,"editor,editorial_department,producer","tt1981128,tt0499549,tt0455944,tt3371366"
nm0863374,Emma Tillinger Koskoff,NA,NA,"producer,miscellaneous,actress","tt0118661,tt0407887,tt0490215,tt0993846"
nm1706767,Jonah Hill,1983,NA,"actor,producer,writer","tt0993846,tt2294449,tt1210166,tt1232829"
nm3053338,Margot Robbie,1990,NA,"actress,producer,executive","tt1386697,tt5580036,tt2381941,tt0993846"
nm1010540,Terence Winter,1960,NA,"producer,writer,actor","tt0141842,tt0979432,tt0430308,tt0993846"
nm0067789,Jordan Belfort,1962,NA,"producer,actor,writer","tt0993846,tt0117581,tt0115709,tt0113067"
nm4265383,Riza Aziz,NA,NA,producer,"tt1206543,tt1528071,tt0993846,tt1720616"
nm2110175,Joey McFarland,NA,NA,"producer,writer","tt1528071,tt5093026,tt0993846,tt1206543"
nm0001602,Guy Pearce,1967,NA,"actor,soundtrack,director","tt0119488,tt2345737,tt1592525,tt0209144"
nm0001592,Joe Pantoliano,1951,NA,"actor,producer,writer","tt0209144,tt0112442,tt0133093,tt0172156"
nm0095478,Mark Boone Junior,1955,NA,"actor,producer,soundtrack","tt0322259,tt0372784,tt0389722,tt0209144"
nm0865189,Jennifer Todd,1969,NA,"producer,miscellaneous","tt0209144,tt0181984,tt2361317,tt0445922"
nm0865297,Suzanne Todd,1965,NA,"producer,miscellaneous,executive","tt0181984,tt0209144,tt0102070,tt0445922"
nm0003817,Michael Clarke Duncan,1957,2012,"actor,soundtrack,producer","tt0120689,tt0133152,tt0401792,tt0120591"
nm0001556,David Morse,1953,NA,"actor,director,producer","tt0118884,tt0816711,tt0887912,tt0120689"
nm0001372,Bonnie Hunt,1961,NA,"producer,writer,actress","tt0113497,tt0122459,tt0120689,tt0320053"
nm0883603,David Valdes,1950,NA,"producer,assistant_director,production_manager","tt1037705,tt0316356,tt0120689,tt0105695"
nm0005897,David Tattersall,1960,NA,"cinematographer,camera_department,composer","tt0121765,tt0120689,tt0120915,tt0329774"
nm1103781,Arnold Messer,NA,NA,"producer,executive","tt0382992,tt1130884,tt0443706,tt0947798"
nm0607865,Emily Mortimer,1971,NA,"actress,writer,producer","tt0805564,tt1289406,tt5028340,tt0800241"
nm0749263,Mark Ruffalo,1967,NA,"actor,producer,director","tt1895587,tt0842926,tt0848228,tt1100089"
nm0436164,Laeta Kalogridis,1965,NA,"writer,producer,miscellaneous","tt0346491,tt0437086,tt1130884,tt1340138"
nm1212331,Dennis Lehane,1965,NA,"writer,producer,actor","tt1600196,tt0327056,tt2361317,tt1130884"
nm1329482,Bradley J. Fischer,NA,NA,"producer,executive","tt1034415,tt0443706,tt2334879,tt0264395"
nm0005219,Mike Medavoy,1941,NA,"producer,actor,executive","tt1130884,tt0443706,tt0947798,tt0482546"
nm0005734,Conrad L. Hall,1926,2003,"cinematographer,camera_department,writer","tt0064115,tt0169547,tt0096244,tt0257044"
nm0000906,Annette Bening,1958,NA,"actress,soundtrack,executive","tt0169547,tt0842926,tt4385888,tt0112346"
nm0000301,Thora Birch,1982,NA,"actress,producer,soundtrack","tt0105112,tt0107120,tt0162346"
nm0004747,Wes Bentley,1978,NA,"actor,producer,soundtrack","tt0804516,tt1392170,tt0816692,tt0169547"
nm0005222,Sam Mendes,1965,NA,"producer,director,miscellaneous","tt1074638,tt0959337,tt0169547,tt0257044"
nm0050332,Alan Ball,1957,NA,"producer,writer,miscellaneous","tt0248654,tt0169547,tt0844441,tt0787523"
nm0169260,Bruce Cohen,NA,NA,"producer,assistant_director,actor","tt1013753,tt1045658,tt0169547,tt0109813"
nm0423134,Dan Jinks,NA,NA,"producer,actor,miscellaneous","tt0319061,tt0169547,tt1013753,tt0356618"
nm0000988,Jerry Bruckheimer,1943,NA,"producer,music_department,camera_department","tt0383574,tt0210945,tt0120591,tt0449088"
nm0000136,Johnny Depp,1963,NA,"actor,producer,soundtrack","tt0408236,tt0383574,tt0449088,tt0325980"
nm0001691,Geoffrey Rush,1951,NA,"actor,soundtrack,producer","tt0117631,tt0138097,tt1504320,tt0180073"
nm0461136,Keira Knightley,1985,NA,"actress,soundtrack,producer","tt2084970,tt0783233,tt0414387,tt0325980"
nm0893659,Gore Verbinski,1964,NA,"director,producer,writer","tt0325980,tt1192628,tt1210819,tt4731136"
nm0254645,Ted Elliott,1961,NA,"writer,producer,miscellaneous","tt0103639,tt1210819,tt0126029,tt0325980"
nm0744429,Terry Rossio,1960,NA,"writer,director,producer","tt0453467,tt0126029,tt0325980,tt0103639"
nm0064181,Stuart Beattie,NA,NA,"writer,director,producer","tt1456941,tt1418377,tt1046173,tt0369339"
nm0938684,Jay Wolpert,NA,NA,"producer,writer,miscellaneous","tt1298650,tt0325980,tt0245844,tt1790809"
nm0365239,Richard A. Harris,NA,NA,"editor,director,producer","tt0103064,tt0111503,tt0120338,tt0091129"
nm0000701,Kate Winslet,1975,NA,"actress,soundtrack","tt0114388,tt0120338,tt0959337,tt0338013"
nm0000708,Billy Zane,1966,NA,"actor,producer,soundtrack","tt0120338,tt0117331,tt0097162,tt0096874"
nm0000870,Kathy Bates,1948,NA,"actress,director,soundtrack","tt0109642,tt0101921,tt0100157,tt0120338"
nm0005665,Russell Carpenter,1950,NA,"cinematographer,camera_department,producer","tt0120338,tt0111503,tt1630029,tt0478970"
nm0119322,Conrad Buff IV,1948,NA,"editor,visual_effects,editorial_department","tt0146309,tt0096754,tt0120338,tt0103064"
nm0317493,Keith Giffen,1952,NA,"writer,animation_department,art_department","tt2015381,tt1641384,tt3896198,tt4154756"
nm0695435,Chris Pratt,1979,NA,"actor,soundtrack,producer","tt0369610,tt2015381,tt1490017,tt1266020"
nm0004874,Vin Diesel,1967,NA,"producer,actor,director","tt0295701,tt2820852,tt0232500,tt2015381"
nm0177896,Bradley Cooper,1975,NA,"actor,producer,soundtrack","tt1517451,tt1045658,tt2179136,tt1800241"
nm0348181,James Gunn,1966,NA,"writer,producer,director","tt1512235,tt2015381,tt3896198,tt1333125"
nm2270979,Nicole Perlman,1981,NA,"writer,producer,director","tt2015381,tt5884052,tt4154664,tt9055512"
nm3966115,Dan Abnett,1965,NA,writer,"tt3391132,tt6907170,tt2015381,tt3896198"
nm5037683,Andy Lanning,NA,NA,writer,"tt3896198,tt6791350,tt2015381,tt4176370"
nm2757098,Bill Mantlo,1951,NA,"writer,animation_department,miscellaneous","tt4154756,tt3896198,tt2015381,tt1722512"
